,game_id,date,home,home_goals,away,away_goals,hoa,result,result_bool,Game,Team,TOI,CF_avg,CA_avg,CF%_avg,FF_avg,FA_avg,FF%_avg,SF_avg,SA_avg,SF%_avg,GF_avg,GA_avg,GF%_avg,xGF_avg,xGA_avg,xGF%_avg,SCF_avg,SCA_avg,SCF%_avg,HDCF_avg,HDCA_avg,HDCF%_avg,HDSF_avg,HDSA_avg,HDSF%_avg,HDGF_avg,HDGA_avg,HDGF%_avg,HDSH%_avg,HDSV%_avg,MDCF_avg,MDCA_avg,MDCF%_avg,MDSF_avg,MDSA_avg,MDSF%_avg,MDGF_avg,MDGA_avg,MDGF%_avg,MDSH%_avg,MDSV%_avg,LDCF_avg,LDCA_avg,LDCF%_avg,LDSF_avg,LDSA_avg,LDSF%_avg,LDGF_avg,LDGA_avg,LDGF%_avg,LDSH%_avg,LDSV%_avg,SH%_avg,SV%_avg,PDO_avg,blocks_avg
31,2016020032,2016-10-16,Canucks,4,Hurricanes,3,H,H_reg,1,"2016-10-16 - Hurricanes 3, Canucks 4",Vancouver Canucks,60.533333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,2016020033,2016-10-17,Rangers,7,Sharks,4,H,H_reg,1,"2016-10-17 - Sharks 4, Rangers 7",New York Rangers,60.0,3.5,-14.0,9.36,4.5,-6.5,7.585000000000001,2.5,-2.0,4.090000000000003,1.0,1.5,-12.085,0.71,0.6150000000000002,-2.5150000000000006,2.5,-5.0,9.100000000000001,4.0,1.0,3.405000000000001,2.5,1.5,-2.0349999999999966,2.5,1.5,8.335,17.47,-28.96499999999999,-1.5,-6.0,9.839999999999996,1.0,1.0,-1.8249999999999957,-1.0,1.0,-75.0,-12.5,-14.585000000000008,1.5,-7.5,10.14,-1.0,-4.5,9.340000000000003,-0.5,-1.0,25.0,-3.125,7.689999999999998,2.0950000000000006,-7.844999999999999,-0.05800000000000005,-7.5
33,2016020034,2016-10-17,Penguins,3,Avalanche,4,H,A_OT,0,"2016-10-17 - Avalanche 4, Penguins 3",Pittsburgh Penguins,60.366666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2016020035,2016-10-17,Red Wings,5,Senators,1,H,H_reg,1,"2016-10-17 - Senators 1, Red Wings 5",Detroit Red Wings,60.0,-11.5,1.5,-6.710000000000001,-13.5,7.5,-13.015,-7.0,6.0,-10.839999999999996,-1.5,1.5,-22.78,-0.9499999999999997,1.2999999999999998,-21.575000000000003,-4.0,9.5,-14.740000000000002,-6.0,4.0,-23.745000000000005,-4.5,5.5,-31.639999999999993,0.0,0.5,-25.0,-3.0549999999999997,21.78000000000001,2.0,5.5,-4.650000000000006,0.5,4.5,-14.300000000000004,-1.5,1.0,-62.5,-16.25,-4.64500000000001,-5.5,-2.0,-5.194999999999993,-3.0,-4.0,-0.8350000000000009,-0.5,0.0,-25.0,-3.125,-0.33499999999999375,-3.755000000000001,-2.0849999999999937,-0.05850000000000011,-6.0
35,2016020036,2016-10-17,Jets,1,Bruins,4,H,A_reg,0,"2016-10-17 - Bruins 4, Jets 1",Winnipeg Jets,60.0,-17.5,-0.5,-8.800000000000004,-14.0,6.0,-14.035000000000004,-9.5,1.5,-10.475000000000001,0.5,0.5,5.875,-1.0050000000000003,-0.19500000000000028,-6.849999999999994,-3.0,-7.0,2.9000000000000057,-0.5,-2.5,10.114999999999995,-2.0,-2.0,8.265,-0.5,0.5,12.145000000000003,14.02,-15.14,-2.5,-4.5,0.5150000000000006,-3.0,-3.0,-7.255000000000003,1.0,-0.5,66.66499999999999,35.0,1.2700000000000102,-11.5,7.0,-20.340000000000003,-3.0,5.5,-20.72,0.0,0.5,0.0,0.0,-2.085000000000008,8.329999999999998,-0.6799999999999926,0.07650000000000012,-6.5
36,2016020037,2016-10-18,Devils,2,Ducks,1,H,H_reg,1,"2016-10-18 - Ducks 1, Devils 2",New Jersey Devils,60.0,-13.666666666666664,7.666666666666664,-10.023333333333326,-6.833333333333336,5.666666666666664,-6.996666666666677,-3.3333333333333357,2.333333333333332,-5.813333333333333,-0.5,-0.8333333333333335,-1.1116666666666646,-1.2216666666666662,-0.1033333333333335,-11.854999999999997,-4.833333333333332,1.8333333333333321,-6.164999999999999,-6.333333333333334,-0.8333333333333339,-16.364999999999995,-6.166666666666666,-1.0,-18.425000000000004,-0.6666666666666666,-0.8333333333333335,-19.44333333333333,-5.156666666666666,11.138333333333335,1.5,2.666666666666668,-0.7166666666666757,2.833333333333333,4.5,-0.03833333333332689,-0.16666666666666663,0.6666666666666667,-41.66666666666667,-3.335000000000001,-2.7366666666666646,-6.5,6.0,-13.056666666666658,1.166666666666666,-0.6666666666666661,0.19333333333332803,0.33333333333333337,-0.3333333333333333,50.0,3.463333333333333,1.5166666666666657,-1.295,4.873333333333349,0.03600000000000003,2.0
37,2016020038,2016-10-18,Islanders,2,Sharks,3,H,A_reg,0,"2016-10-18 - Sharks 3, Islanders 2",New York Islanders,60.0,-8.333333333333336,7.666666666666664,-6.679999999999993,-5.333333333333329,3.0,-4.349999999999994,-6.666666666666668,4.666666666666668,-9.460000000000008,-0.6666666666666665,-0.3333333333333335,-10.733333333333341,-0.75,0.43999999999999995,-9.509999999999991,-3.666666666666668,-0.6666666666666679,-0.09666666666666401,-3.0,1.333333333333334,-8.893333333333338,-3.0,0.33333333333333304,-9.560000000000002,0.33333333333333326,0.33333333333333326,0.0,3.283333333333335,-4.48333333333332,-0.6666666666666679,-2.0,5.296666666666667,-0.33333333333333304,-0.6666666666666661,5.490000000000002,-0.6666666666666666,0.0,0.0,-5.356666666666666,0.0,-3.333333333333332,8.333333333333336,-12.136666666666656,-3.666666666666666,4.0,-15.11,-0.3333333333333333,-0.6666666666666666,16.666666666666668,-2.0833333333333335,8.366666666666674,-0.6600000000000001,2.7266666666666737,0.020333333333333314,4.666666666666668
38,2016020039,2016-10-18,Capitals,3,Avalanche,0,H,H_reg,1,"2016-10-18 - Avalanche 0, Capitals 3",Washington Capitals,60.0,4.5,-6.0,4.600000000000001,4.0,-7.0,6.465000000000003,2.5,-3.5,4.825000000000003,-3.0,-2.5,2.490000000000002,-1.045,-0.2400000000000002,-5.585000000000008,-3.5,0.0,-3.8899999999999935,-2.5,-2.5,3.375,-1.5,-1.5,2.8999999999999986,-0.5,-1.0,16.664999999999992,-1.5300000000000011,13.329999999999984,-1.0,2.5,-7.605000000000004,0.0,1.5,-13.410000000000004,-1.5,-0.5,-16.67,-22.94,7.14500000000001,11.0,-6.0,15.335,5.0,-5.5,19.875,-1.0,-1.0,0.0,-7.415,7.414999999999992,-9.53,8.16000000000001,-0.013500000000000068,1.0
39,2016020040,2016-10-18,Canadiens,4,Penguins,0,H,H_reg,1,"2016-10-18 - Penguins 0, Canadiens 4",Montreal Canadiens,60.0,-9.666666666666664,-3.6666666666666643,-3.1000000000000014,-8.5,0.1666666666666643,-5.185000000000002,-11.333333333333336,-1.5,-8.095000000000006,0.8333333333333335,-0.6666666666666665,14.04666666666666,-0.9049999999999994,0.028333333333332877,-8.181666666666672,-12.166666666666668,-1.5,-12.281666666666673,-6.833333333333334,0.16666666666666607,-13.464999999999996,-6.666666666666666,0.5,-17.328333333333333,0.33333333333333326,0.0,5.551666666666655,34.443333333333335,3.8616666666666646,-5.333333333333334,-1.666666666666666,-7.163333333333334,-2.833333333333334,-3.0,0.529999999999994,0.16666666666666669,-0.33333333333333326,13.89,2.381666666666667,-0.13500000000000512,0.5,-2.833333333333332,2.9549999999999983,-1.0,0.8333333333333339,-2.1416666666666586,0.33333333333333337,-0.3333333333333333,8.333333333333329,2.585,2.5633333333333326,6.911666666666668,2.220000000000013,0.09100000000000008,-3.833333333333334
40,2016020041,2016-10-18,Senators,7,Coyotes,4,H,H_reg,1,"2016-10-18 - Coyotes 4, Senators 7",Ottawa Senators,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
